,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
1343,Keith Benson,C,GSW,3.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,23,1,0
1344,Bismack Biyombo,C,['CHA' 'CHO' 'TOR' 'ORL' 'PHO'],67.1,28.2,19.5,2.0,3.8,54.1,0.0,0.0,0.0,2.0,3.8,54.2,54.1,1.2,2.2,55.8,2.0,4.0,5.9,0.6,0.3,1.2,0.9,2.2,5.2,19,29,11,0
1345,MarShon Brooks,SG,['NJN' 'BRK' 'TOT' 'BOS' 'GSW' 'LAL' 'MEM'],29.4,6.2,14.2,2.8,6.2,44.3,0.7,1.6,38.2,2.2,4.6,45.7,48.7,1.2,1.6,75.2,0.5,1.4,1.9,1.3,0.6,0.2,1.0,0.9,7.6,23,30,5,0
1346,Alec Burks,SG,['UTA' 'TOT' 'CLE' 'SAC' 'GSW' 'PHI' 'NYK'],47.2,11.1,22.4,3.5,8.5,41.8,1.1,2.8,35.0,2.4,5.6,44.7,47.7,2.4,2.9,81.1,0.6,2.9,3.5,2.0,0.7,0.2,1.2,1.7,10.5,20,30,11,0
1347,Jimmy Butler,SF,['CHI' 'MIN' 'TOT' 'PHI' 'MIA'],58.1,50.0,32.8,5.9,12.7,45.7,0.9,2.6,31.1,5.0,10.1,49.2,48.9,5.3,6.3,83.1,1.6,3.7,5.2,4.1,1.7,0.5,1.6,1.5,17.9,22,32,11,0
1348,Derrick Byars,PF,SAS,2.0,0.0,18.5,1.5,5.5,27.3,0.0,3.0,0.0,1.5,2.5,60.0,27.3,2.0,2.0,100.0,3.0,2.5,5.5,0.5,1.0,0.0,0.0,1.0,5.0,27,27,1,0
1349,Norris Cole,PG,['MIA' 'TOT' 'NOP' 'OKC'],54.4,10.6,21.7,2.8,7.0,39.8,0.6,1.9,31.1,2.2,5.2,43.0,44.0,0.8,1.1,74.5,0.2,1.7,1.9,2.8,0.7,0.1,1.3,1.8,7.1,23,28,6,0
1350,Eric Dawson,C,SAS,4.0,0.0,9.8,1.8,3.0,58.3,0.0,0.0,,1.8,3.0,58.3,58.3,0.3,0.5,50.0,1.3,1.3,2.5,0.0,0.3,0.5,0.8,1.5,3.8,27,27,1,0
1351,Justin Dentmon,PG,['TOT' 'SAS' 'TOR' 'DAL'],3.5,0.0,11.2,1.2,3.6,26.3,0.2,1.7,11.4,1.0,1.8,51.8,28.4,0.4,0.6,66.7,0.0,0.9,0.9,1.1,0.3,0.0,0.8,1.2,3.0,26,27,2,0
1352,Jerome Dyson,PG,NOH,9.0,1.0,20.0,2.1,5.3,39.6,0.1,0.9,12.5,2.0,4.4,45.0,40.6,3.1,4.0,77.8,0.2,1.9,2.1,2.0,1.2,0.2,2.2,2.1,7.4,24,24,1,0
1353,Kenneth Faried,PF,['DEN' 'TOT' 'BRK' 'HOU'],51.5,39.8,22.0,4.2,7.6,55.8,0.1,0.2,18.7,4.2,7.4,57.0,56.2,2.0,3.0,65.5,2.8,4.6,7.4,0.8,0.6,0.7,1.2,2.3,10.4,22,29,8,0
1354,Jeff Foote,C,NOH,4.0,0.0,9.8,0.5,1.5,33.3,0.0,0.0,,0.5,1.5,33.3,33.3,0.0,0.0,,0.3,1.3,1.5,0.0,0.0,0.3,0.5,1.3,1.0,24,24,1,0
1355,Courtney Fortson,PG,['TOT' 'LAC' 'HOU'],6.7,0.0,9.7,1.1,3.2,35.4,0.3,1.3,23.4,0.8,1.9,42.8,40.0,1.1,1.6,66.7,0.6,0.9,1.6,1.0,0.3,0.0,1.0,0.5,3.6,23,23,1,0
1356,Jimmer Fredette,SG,['SAC' 'TOT' 'CHI' 'NOP' 'NYK' 'PHO'],29.6,0.7,9.1,1.5,3.7,45.1,0.5,1.5,38.0,1.0,2.2,43.2,55.5,0.8,0.9,89.4,0.2,0.6,0.7,0.9,0.3,0.0,0.7,0.7,4.3,22,29,6,0
1357,Enes Freedom,C,['UTA' 'TOT' 'OKC' 'NYK' 'POR' 'BOS'],59.3,24.3,22.4,4.8,8.9,54.6,0.1,0.3,31.2,4.7,8.6,55.3,55.0,2.0,2.6,77.6,3.2,4.9,8.1,0.9,0.4,0.5,1.5,2.2,11.8,19,29,11,0
1358,Mickell Gladness,PF,['TOT' 'MIA' 'GSW'],17.3,4.7,8.5,0.8,1.9,39.5,0.0,0.0,,0.8,1.9,39.5,39.5,0.2,0.4,50.0,0.4,1.6,2.1,0.2,0.2,0.7,0.3,1.2,1.8,25,25,1,0
1359,Andrew Goudelock,SG,['LAL' 'HOU'],16.3,0.0,7.6,0.9,3.0,28.0,0.3,1.0,24.2,0.7,2.0,37.7,31.5,0.2,0.3,83.4,0.4,0.3,0.7,0.3,0.3,0.1,0.5,0.4,2.4,23,27,3,0
